Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Technology innovation's region nonlinear research: Evidence from China's OFDI,"The paper uses threshold test method to measure the regional absorptive capacity which based on economic development, R&D level and human capital. Results show that GDP, per capita GDP and the development of higher education level have single threshold. R&D spending has double threshold as well as R&D density. Human capital stock exists triple threshold. Absorptive capacity over a certain threshold, the effect of OFDI technology innovation will be improved significantly in some parts of China. A small number of eastern coastal areas can effectively absorb the OFDI technological innovation effect. The vast majority of central and western regions still not across the high threshold of absorptive capacity.",Su W.; Chen F.; Chen G.; Shi L.; Shao J.,Conference Proceeding,"2015 International Conference on Logistics, Informatics and Service Science, LISS 2015",2015-12-30,Cixi Administration School,absorptive capacity ;  OFDI ;  technological innovation ;  threshold test
The science and technology co-innovation mechanism analysis of organization coordination network of MSTP based on contract links,"In order to solve the science and technology co-innovation problem of the management mode in organization coordination network of major scientific and technological project (MSTP) based on contract links, we use game theory integrated and establish some model. Then we analyze the product market competition of a given scientific and technological innovation cost and determine the level of scientific and technological innovation to came out an conclusion, as well as the scientific and technological co-innovation analysis. When the synergistic benefits are more than competition, companies will choose the science and technology collaborative innovation. And the growth of scientific and technological innovation productivity have a positive role in promoting the generation of collaborative innovation in science and technology, as well as the increase of market demand and the sharing of scientific and technological innovation of enterprise. The absorption extent of innovation from other enterprises may depend on business innovation costs.",He X.; Zhao Y.,Conference Proceeding,"2015 International Conference on Logistics, Informatics and Service Science, LISS 2015",2015-12-30,Minzu University of China,Contract links ;  major scientific and technological project ;  Organization coordination network ;  Science and technology co-innovation
Practical training in innovative engineering activity,"The paper is concerned with the content of practical training in innovative engineering activity carried out in summer science student schools which focus on teaching how to obtain tangible innovative products. Items of digital production (printing out on a 3D printer) serve as examples of tangible innovative products and application documents for patents, i.e. intangible innovative products. The training is organized in the form of a business game ""Firm-2"", comprising the following stages: 1) team building, assignment of roles; 2) establishment of a company, the choice of company's activities and brand name; 3) formulation of the problem to be solved; 4) finding technical solutions; 5) development of a 3D model of the workpiece; 6) development of the product using a 3D printer; 7) submission of applications for RIA; 8) defense of the project. The paper experimentally proves the enhancement of training efficiency by 16 %.",Naumkin N.; Shabanov G.; Shekshaeva N.; Kupryashkin V.; Grocheva E.,Journal,Indian Journal of Science and Technology,2015-12-30,Ogarev Mordovia State University,Competence ;  Competency ;  Elements of competency ;  Innovative engineering activity ;  Intangible innovative product ;  Learning innovation ;  Methods of teaching ;  National research university ;  Summer science schools ;  Tangible innovative product ;  Training
Mass transfer coefficient in ginger oil extraction by microwave hydrotropic solution,"This research aims to obtain mass transfer coefficient data on the extraction of ginger oil using microwave hydrotropic solvent as an alternative to increase zingiberene. The innovation of this study is extraction with microwave heater and hydrotropic solvent,which able to shift the phase equilibrium, and the increasing rate of the extraction process and to improve the content of ginger oil zingiberene. The experiment was conducted at the Laboratory of Separation Techniques at Chemical Engineering Department of Diponegoro University. The research activities carried out in two stages, namely experimental and modeling work. Preparation of the model postulated, then lowered to obtain equations that were tested and validated using data obtained from experimental. Measurement of experimental data was performed using microwave power (300?W), extraction temperature of 90 ° C and the independent variable, i.e.: type of hydrotropic, the volume of solvent and concentration in order, to obtain zingiberen levels as a function of time. Measured data was used as a tool to validate the postulation, in order to obtain validation of models and empirical equations. The results showed that the mass transfer coefficient (Kla) on zingiberene mass transfer models ginger oil extraction at various hydrotropic solution attained more 14 ± 2 Kla value than its reported on the extraction with electric heating. The larger value of Kla, the faster rate of mass transfer on the extraction process. To obtain the same yields, the microwave-assisted extraction required one twelfth time shorter.",Handayani D.; Ikhsan D.; Yulianto M.; Dwisukma M.,Conference Proceeding,AIP Conference Proceedings,2015-12-29,Universitas Semarang;Muhammadiyah University in Semarang,extraction ;  ginger oil ;  hydrotropic ;  microwave ;  zingiberene
The modern methods for designing of medium voltage switchboards technology of power plant's refineries: Technical Solution for Double Bus-bar Systems,"Any refinery needs an independent power plant which is most important for running all of the processing units under steady state conditions [1]. We are still considering the constructions of medium voltage switch gears (MVSWGR's) in the conventional way although the vacuum theory has proved. Digital relays with their automation are offering good facilities for sending on the power of medium voltage distribution systems. But, it is still needed for these innovations to be more qualified. This research paper deals with the involvement of a binary function for receiving 11KV either from the extra high voltage National Grid distribution network of 220 kV which is called the modified IEEE 21 bus-Test-case or sending the floating power generation from the refinery to the grid which is called the modified IEEE 23 bus-Test-case and is based on the MATLAB/MATPOWER testing system [2], [3]. Moreover the designing of circuit breaker shall be further tested using existing parameters of the MATLAB switching system. This paper explains many recommendations and conclusions.",Gatan S.,Conference Proceeding,"Advances in Information, Electronic and Electrical Engineering, AIEEE 2015 - Proceedings of the 2015 IEEE 3rd Workshop",2015-12-28,Riga Technical University,Electrical engineering ;  oil refineries ;  power generation planning ;  power system control ;  Switchboard ;  switchgear
An ontology of online user feedback in software engineering,"Online user feedback is principally used as an information source for evaluating customers' satisfaction for a given goods, service or software application. The increasing attitude of people towards sharing comments through the social media is making online user feedback a resource containing different types of valuable information. The huge amount of available user feedback has drawn the attention of researchers from different fields. For instance, data mining techniques have been developed to enable information extraction for different purposes, or the use of social techniques for involving users in the innovation of services and processes. Specifically, current research and technological efforts are put into the definition of platforms to gather and/or analyze multi-modal feedback. But we believe that the understanding of the type of concepts instantiated as information contained in user feedback would be beneficial to define new methods for its better exploitation. In our research, we focus on online explicit user feedback that can be considered as a powerful means for user-driven evolution of software services and applications. Up to our knowledge, a conceptualization of user feedback is still missing. With the purpose of contributing to fill up this gap we propose an ontology, for explicit online user feedback that is founded on a foundational ontology and has been proposed to describe artifacts and processes in software engineering. Our contribution in this paper concerns a novel user feedback ontology founded on a Unified Foundational Ontology (UFO) that supports the description of analysis processes of user feedback in software engineering. We describe the ontology together with an evaluation of its quality, and discuss some application scenarios.",Morales-Ramirez I.; Perini A.; Guizzardi R.,Journal,Applied Ontology,2015-12-15,Universidade Federal do Espírito Santo;Università di Trento;Istituto Trentino di Cultura-Centro per la Ricerca Scientifica e Tecnologica,communication ontology ;  requirements engineering ;  software engineering ;  speech act theory ;  user feedback analysis ;  User feedback ontology
A new multi-functional true triaxial fluid-solid coupling experiment system and its applications,"A new multi-functional true triaxial fluid-solid coupling experiment system was designed, fabricated, calibrated, and successfully tested to better simulate in-situ triaxial stress conditions and reveal geomechanical properties and seepage laws for rocks and coals subjected to these conditions. The experiment system comprises a load frame, a true triaxial pressure vessel, a high pressure loading system, an internally sealed seepage system, a control and data acquisition system and an acoustic emission monitoring system. The advantages and innovations of the experiment system include: (1) Geomechanical and seepage experiments can be performed for different stress-strain paths under uniaxial, biaxial or true triaxial stress conditions. (2) Three new stress and strain control modes(Trace-F, Trace-D and Trace-Df) are implemented to ensure that the center point of the specimen stays in the same position during experiments. (3) The internally sealed seepage system is designed to accomplish the independent control and monitoring of fluid flow in the specimen under true triaxial stress conditions. (4) To reduce the specimen end friction effect, stiff loading mode is applied in two directions and either flexible or stiff loading mode is applied in the third direction. In addition, high frequency dynamic control is implemented for the load system, therefore experiments with complex stress-strain paths can be performed. (5) New multi-functional loading platens are designed to accommodate hydraulic fracturing experiments. (6) The experiment system can apply a force of up to 6 000 kN in each of two directions and 4 000 kN in the remaining direction. The applied fluid pressure can be up to 60 MPa based on a servo-controlled supercharger. A series of testing methods and experiments were performed to verify the accuracy and reliability of the experiment system. This system will provide a comprehensive new tool to study geomechanical properties and seepage laws for rock and coal under true triaxial stress conditions, which can be further applied to research in areas such as geological storage of CO2, efficient oil-gas exploitation and deep underground rock engineering applications.",Yin G.; Li M.; Xu J.; Wang W.; Li W.; Li X.; Song Z.; Deng B.,Journal,Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering,2015-12-15,Chongqing University,Fluid-solid coupling ;  Hydraulic fracturing ;  Permeability ;  Rock mechanics ;  True triaxial stress conditions
Mass participation in innovation - The foundation of a modern organization and beyond,"In this practice reflection paper I share hands-on experiences on innovation ecosystems. They have taught me that if we want innovation to be the core catalyst of value creation, we need an advanced set of tools, mechanisms and approaches to encourage horizontal cooperation and mass engagement in generation of innovative propositions that can turn into innovation. Even more, I stress that only mass innovation can ensure the appropriate culture and conditions for innovative breakthroughs. At the same time it is important that we do not merely transfer an effective model for mass innovation from one environment to another. Instead, we should first consider observing and learning about the evolution phase, the level of absorptiveness, the existing innovation experiences, and the structural and human capital present in an environment. Based on those observations we should create the model, which should be authentic, unique and adjusted to the local environment and local idiosyncrasies. Only with such adjustments one can hope to achieve optimal results. I will support my arguments with examples and experiences from the field.",Bulc V.,Conference Proceeding,"2013 International Conference on Engineering, Technology and Innovation, ICE 2013 and IEEE International Technology Management Conference, ITMC 2013",2015-12-10,d.o.o.,absorptive level ;  business evolution ;  horizontal structures ;  Mass innovation ;  safe environment
Living labs in health innovation: Critical factors in their application,"The focus of this paper is on living labs for health innovation. Health care (cure) systems are under pressure as a consequence of the ageing population and fast increasing population with chronic conditions, in a situation of decreasing financial budgets. At the same time, the valorization of health inventions is stumbled by many blocks. Living labs as an innovation tool, whether conceived as delimited environments for co-creation and development or as local/regional platforms, may offer various solutions. The paper identifies factors that hamper the valorization of knowledge in general and it identifies critical factors in the application of medical living labs, using the literature and five case studies.",Van Geenhuizen M.; Guldemond N.,Conference Proceeding,"2013 International Conference on Engineering, Technology and Innovation, ICE 2013 and IEEE International Technology Management Conference, ITMC 2013",2015-12-10,"Faculteit Techniek, Bestuur en Management, TU Delft;Delft University of Technology",Critical Factors ;  Health ;  Innovation ;  Knowledge Valorization ;  Living labs
Organizational innovation for institutional growth: Findings from a sustained initiative at IIT Bombay,"India has traditions of sustainable practices and economics, but innovations for more sustainable industrial and information society are quite challenging. Leading institutions of learning such as Indian Institutes of Technology (IITs) are expected to provide ideas for innovations that address vexing issues related to health and sustainability. Institutional excellence is gradually gaining importance as select IITs travel in third quarter of their journey towards century. Taking a context of IIT Bombay, we search for initiatives related to organizational innovations After considerable interactions, we select for case study a major initiative that has sustained for a quarter of a century and has potential to make impact. Based on factual data and interaction from concerned professionals we have tried to identify elements of such sustaining innovations.",Momaya K.; Manthri P.; Reddy P.,Conference Proceeding,"2013 International Conference on Engineering, Technology and Innovation, ICE 2013 and IEEE International Technology Management Conference, ITMC 2013",2015-12-10,Shailesh J. Mehta School of Management;Indian Institute of Technology Bombay,greener campus ;  Institutional excellence ;  international competitiveness ;  sustainable innovation
Towards evolutionary management framework for technological catching-up,"Ambitions of developing countries for technological catching-up are increasingly rooted in their commitment and competence to rapidly build up capabilities. This places national knowledge systems at the core of technological development strategies. As a result of the cumulative nature of learning and differences in the rate of accumulation of technological capabilities, there is an inherent expansion in the economic prosperity gaps across the developing countries comparing to their industrialized counterparts. Narrowing these gaps requires sustainable catching-up efforts of various kinds. Pivotal among these is the swift accumulation of technological capabilities within a deliberate management framework for technological catching-up. Therefore, this research work aims at originate an evolutionary management framework for technological catching-up based on developing an empirical understanding of technology development implications in Libyan oil sector - as being the case study of interest - and through exploring the experiential stock of research organizations, firms and business sectors involved in technological innovation in both industrialized and developing countries.",Shenbarow A.,Conference Proceeding,"2013 International Conference on Engineering, Technology and Innovation, ICE 2013 and IEEE International Technology Management Conference, ITMC 2013",2015-12-10,Libyan Petroleum Institute,developing countries ;  knowledge ;  national innovation system ;  Technological catching-up
