Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
TecTNet TEMPUS project master program for improvement of innovation and technology transfer between universities and industry in Republic of Moldova,"Innovations and technological transfer are the basic keys for development and economic growth in any country. Republic of Moldova is one of European countries aspiring for a membership in European Union and its structures. The main goal of TEMPUS TecTNet project is to support the process by improving preparation of qualified experts working in the field of innovation and technology transfer at Moldovan universities and agencies. The paper presents the project, its main goals and achieved results in the fields of education and establishing infrastructure for cooperation among universities and industry in Republic of Moldova. The main focus is on developed master course, which is one of most important outcome of project.",Šaliga J.; Michaeli L.; Jakab F.; Lucache D.; Haba C.,Conference Proceeding,"ICETA 2016 - 14th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",2016-12-29,Technická Univerzita v Košiciach;Universitatea Tehnica Gh. Asachi din IasI,innovation ;  master course ;  Moodle ;  technology transfer ;  TEMPUS
Pilot study on strategies in sensor placement for robust hand/wrist gesture classification based on movement related changes in forearm volume,"Force Myography (FMG) is novel method of tracking functional motor activity using volumetric changes associated with muscle function. With comparable accuracy and multiple advantages over traditional methods of functional motor activity tracking, FMG has made leaps and bounds in terms of applications in human-machine interfaces and healthcare devices. As a field that is rapidly gaining popularity in health innovation, the aim of this paper is to contribute to our understanding of the nature FMG methods and establish it as a robust and reliable technique. The main point of exploration for this study is the impact of sensor placement and spatial coverage on FMG methods. Five participants were invited to perform a series of isolated wrist motions and hand gestures while wearing custom built FMG devices. Linear Discriminant Analysis (LDA) machine learning models were developed using 80% of the data for training and 20% for testing. Overall, the accuracy of the LDA models ranged from 75% to 100% across all subjects and dimensions of FMG data. The model accuracy improved when increasing the spatial coverage from 1 FMG band to 2, but it did not increase further with additions. The results also showed that the improved accuracy offered by a large spatial coverage of FMG data can be approximated by lower spatial coverage if sensors were place in an optimal location. This location was indicated to be midway between the wrist and the collective muscle bellies of intrinsic forearm muscles. The knowledge generated from this work aims serve as a guide towards the development of portable FMG based technology for widespread deployment in the general population. The hope is that the long-term benefits of continued FMG research will address issues in healthcare associated with disparities in access to medical technologies.",Chengani R.; Delva M.; Sakr M.; Menon C.,Conference Proceeding,"2016 IEEE Healthcare Innovation Point-of-Care Technologies Conference, HI-POCT 2016",2016-12-27,Simon Fraser University,
Evaluation of Engineering Training Competences in the Field of Smart Systems as a Factor of Russian Innovative Development Through the Example of Tomsk Polytechnic University,The article dwells on Russian system of educational engineering training in the field of smart systems with a view to its innovative component through the example of National Research Tomsk Polytechnic University (TPU). The article highlights that the development of innovations has two significant components (technological-economic and social-humanistic). It is proved that only with equal combination of these two components in innovations it is possible to obtain maximum innovative development effect for economy of any country. It is concluded that the system of educational engineering training in TPU is misbalanced in terms of innovative development due to considerable technological-economic component dominance over social-humanistic one. The authors propose possible ways to overcome this misbalance of innovative development in the system of engineering education of TPU upgrading event block on staff and students motivational competences improvement.,Ardashkin I.; Kirsanova E.,Conference Proceeding,MATEC Web of Conferences,2016-12-20,Tomsk Polytechnic University,
Educational data mining and big data framework for e-learning environment,"E-learning data consists of large volume of educational data and available with complex and hybrid data architecture. Capturing of student performances, student evaluation and student's interaction information are one of the challenges faced by the e-learning software users at the time of analysis. Integrating student data along with educational data for analysis needs complex system design framework. New innovations in e-learning also facilitates augmented learning, adaptive learning, web based learning, activity based learning, and project based learning. Education technology interventions using learning management system, content management system, advanced distributed learning; sharable content object reference models and application program interfaces enhanced and extended the e-learning frameworks to a greater horizon. Present technology also ensures transformations of e-learning information without any geographical barriers. These educational and student or user data combined together forms big data architecture under e-learning environment and mining these big data for various requirements or knowledge discoveries needs innovative approaches. This paper identifies and evaluates various e-learning models and associated education technology paradigm. The research further explores and proposes a new framework for big data integrations. The paper also discusses the scope of future research on data mining and role of big data in e-learning environment.",Udupi P.; Sharma N.; Jha S.,Conference Proceeding,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions",2016-12-15,Middle East College;Amity University;NIMT,Adaptive learning ;  Augmented learning ;  Big Data Framework ;  E-learning
Software reliability viz-a-viz product diffusion: Modeling based interdisciplinary research framework,"With the advent of information technology in the past few decades, several areas of research have seen unprecedented growth. Amongst those, the field of interdisciplinary research has received unmatched attention from both academicians and practitioners. Interdisciplinary research focuses on some of the most relevant approaches that have been developed for the purpose of analyzing various engineering and business problems through interdisciplinary work. In this talk, we present six contrasting applications of interdisciplinary work primarily in the areas of innovation diffusion in marketing and software reliability assessment. The idea is to present readers with the understanding of how different areas of research can contribute immensely in solving real world problems related to different areas.",Kapur P.; Sachdeva N.,Conference Proceeding,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions",2016-12-15,Amity University;University of Delhi,Innovation Diffusion ;  Interdisciplinary Research ;  Modeling ;  Software Reliability
Sustainability-oriented innovations: Can mindfulness make a difference?,"The concepts of sustainability and innovation represent a fundamental conflict of objectives. This fact may help explain why the management literature has been ambiguous in its approach to sustainability-oriented innovation. The main purpose of this article is to develop an analytical framework to further study the influence of mindfulness. Mindfulness can support the development of the cognitive abilities, attitudes and behaviors of individuals who work within organizations. It can help them identify and utilize creative solutions that can lead to sustainability-oriented innovation. This paper presents a theoretical study that has been designed to support future research in sustainability-oriented innovation in the organizational context. A systematic literature review provides empirical evidence that mindfulness training can promote changes in individual cognition mechanisms that favor creativity and ecological concerns. As an isolated training technique, mindfulness can be used as a tool to reduce the stress that is caused by efficiency-driven business models. To help influence management actions in favor of sustainability-oriented innovation, this paper offers a research agenda that combines the following five fields of study: sufficiency-driven business models, inclusive capitalism, sustainability-oriented innovation capability, mindfulness in organizations and interdisciplinary and qualitative mindfulness.",Siqueira R.; Pitassi C.,Journal,Journal of Cleaner Production,2016-12-15,"Instituto Brasileiro de Mercado de Capitais, Rio de Janeiro;Universidade Federal do Rio de Janeiro",Cognition ;  Creativity ;  Mindfulness ;  Sustainability ;  Sustainability-oriented innovation
"A process integration approach for the production of biological iso-propanol, butanol and ethanol using gas stripping and adsorption as recovery methods","Biomass fermentation to Iso-propanol, Butanol and Ethanol (IBE) is particularly important as IBE is a common building block in the development of biorefineries and IBE-producing bacteria are robust industrial organisms, capable to utilize the sugars of the lignocellulosic biomass. Research is focused on increasing fermentation yields and the reduction of energy that is required to separate the volatile products. The paper addresses both of these challenges combining experimental innovations with a systems engineering approach. IBE is recovered from a gas-stripped fermenter whose potential for adsorption is researched and integrated with downstream options for separation. Design and integration is assisted using a systems approach that relies on mathematical models that regress and extrapolate experimental data for scale-up calculations. Process integration involves synthesis challenges to define biorefinery portfolios and systems integration to combine fermentation, stripping, adsorption, and distillation. The analysis considers 4 alternative biorefinery cases and presents results with significant savings in energy use and costs (up to 87% savings reported) after the application of energy integration to the IBE plant. Scenarios are analysed economically and confirm benefits in the use of adsorption and viable production yields.",Pyrgakis K.; de Vrije T.; Budde M.; Kyriakou K.; López-Contreras A.; Kokossis A.,Journal,Biochemical Engineering Journal,2016-12-15,Wageningen University & Research;National Technical University of Athens (NTUA),"Adsorption ;  Gas stripping ;  In-situ product removal ;  Iso-propanol, Butanol, Ethanol Fermentation ;  Mathematical modelling and process design ;  Process integration"
The Mediating Effect of Innovation between Total Quality Management (TQM) and Business Performance,"Both TQM and Innovation are the competitive key factors that intensely embedded into organizational products, service and process. In order to achieve higher business performance, organizations are needed to adopt both quality and innovation. Therefore, the main objective of this paper is to identify the relationship between TQM and business performance with a mediator's effect of Innovation. After detailed review the extensive literature, a new TQM model is presented. The proposed model integrates the TQM practices and different type of innovation attempt to develop a theoretical knowledge to help academician and manufacturer to understand the relationship that design quality in product and service and engaging innovation in the activities. To this end, the SEM-PLS (Structural Equation Modelling - Partial Least Squares Structural) is used to identify and evaluate the relationship among TQM, Innovation and business performance in establishing a new TQM model.",Shan A.; Ahmad M.; Nor N.,Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2016-12-07,Universiti Tun Hussein Onn Malaysia,
"How background affects design output: Teaching product development to mechanical engineers, industrial designers and managers","Product design and development is a topic of academic and industrial research, with particular current interest. Emphasis on innovation and entrepreneurship, design thinking and creativity have been recently pulled together into the teaching and research on product design and development. However, the shear breadth of the topic means that there is no single way of teaching and doing research on it. The present paper looks into the similarities and differences across three very similar product development masters courses at three distinct Portuguese higher education institutions - Instituto Superior Tecnico (IST) of the University of Lisbon, Instituto Politecnico do Cavado e Ave (IPCA), and ISCTE business school (IBS) of Instituto Universitario de Lisboa. Product Development and Entrepreneurship is taught at IST mostly for students of mechanical engineering, whereas Advanced Product Development Methodologies is taught at IPCA mostly for industrial design students and New Product Development is taught at ISCTE for business students. All three courses use the same methodology of assessment and the same overall syllabus, with distributed assignments and expected outcomes. However, the nature and emphasis of specific aspects of the students' projects are fundamentally different. The reasons for these differences are analyzed by the faculty involved, in the context of the students' background and goals and examples are given. Conclusions and recommendations are provided at the end.",Silva A.; Da Silva J.; Leite M.; Simoes R.,Conference Proceeding,"CISPEE 2016 - 2nd International Conference of the Portuguese Society for Engineering Education, Proceedings",2016-12-07,Singapore University of Technology and Design;Iscte – Instituto Universitário de Lisboa;Instituto Politécnico do Cávado e do Ave,Design output ;  design teaching ;  industrial design ;  management ;  mechancial engineering
Network innovators community event (GENI NICE 2016),"The Network Innovators Community Event (GENI NICE) is the premier event for researchers to demonstrate and present research results and to discuss work in progress related to the NSF's Global Environment for Network Innovations (GENI) and related advanced cyberinfrastructure testbeds. Growing out of the strong experiment-and demonstration-driven tradition of the GENI Engineering Conferences (GECs), NICE specializes in direct experimenter-to-experimenter interaction and information exchange. NICE 2016 represents the second year of NICE, and its first year being held in conjunction with CoNEXT.",Berman M.; Matta I.; Syrotiuk V.; Thomas V.,Conference Proceeding,CoNEXT 2016 - Proceedings of the 12th International Conference on Emerging Networking EXperiments and Technologies,2016-12-06,Boston University;BBN Technologies;Arizona State University;Raytheon BBN Technologies,Cellular research networks ;  Distributed cloud computing ;  Edge cloud ;  Edge computing ;  Future internet ;  Future internet testbeds ;  Geni ;  Next generation networking ;  Software-defined exchanges ;  Software-defined infrastructure
