Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
High-quality development of urban agglomerations in China and construction of science and technology collaborative innovation community,"China's urban agglomerations are the main area of national new urbanization, the strategic core area of national high-quality development and the responsibility area of carbon neutrality. The science and technology innovation plays an irreplaceable role in realizing the above main goals of urban agglomerations. How to promote China's urban agglomeration to achieve high-quality development and high-level protection of the ecological environment under the new development pattern, and gradually build a world-class urban agglomeration is a realistic problem to be solved. Based on this issue, during the 23rd Annual Conference of the Chinese Association of Science and Technology, with the theme of ""Science and technology innovation driving the development of world-class urban agglomerations and the high-quality rise of China's urban agglomerations"", the ""Regional Collaborative Development Forum and the Second China Urban Agglomeration Development Forum"" was specially set up, through systematic discussions of more than 50 well-known experts at home and abroad on urban agglomerations and science and technology collaborative innovation, it is generally believed that the development of global urban agglomerations of China has entered a new era in the 21st century, and the high-quality development of China's urban agglomerations has been promoted to an unprecedented strategic level. However, there are a series of practical problems in the development and planning implementation of urban agglomerations. In the future, the high-quality development of China's urban agglomerations must rely on scientific and technological innovation, and the construction of innovation-driven intelligence, carbon-neutrality, dual circulation and urban-rural integrated urban agglomerations should be the basic direction of high-quality development of China's urban agglomerations. We should further innovate the research work mechanism, establish a collaborative innovation community, and gradually build China's urban agglomerations into world-class urban agglomerations with high-quality development, high-level openness, high-quality life and efficient governance.",Fang C.; Zhang G.; Xue D.,Journal,Dili Xuebao/Acta Geographica Sinica,2021-12-25,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences;University of Chinese Academy of Sciences;Sun Yat-Sen University",Collaborative innovation community ;  High- quality development ;  Science and technology innovation drive ;  Urban agglomerations
Development of the virtual simulation experiments for Microbial Engineering and perspectives on its shared application,"Microbial Engineering is a practical and applied course, it is therefore an indispensable part of teaching to let the students practice in the production line of an enterprise. However, lack of internship resources has always been a bottleneck hampering the high-level internship training during teaching the Microbial Engineering course. A virtual production line developed based on information technology enables students to learn the theoretical knowledge of the complex production system. Moreover, it enables students to perform complex virtual operations, thereby improving students' practicing and innovation abilities. In order to let the virtual simulation experiments project play a great role in undergraduate teaching, this article summarizes the progress, characteristics, and value of the virtual simulation experiments for Microbial Engineering. In addition, the main challenges that limit its shared application are also discussed, with potential solutions prospected.",Tang H.; Li C.; Zhou Y.; Liu Y.,Journal,Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,2021-12-25,Jilin University,Course teaching ;  Curriculum reform ;  Modern educational technology ;  Teaching reform ;  Teaching research
METHODOLOGICAL ASPECTS OF THE SCIENTIFIC AND DESIGN PROCESS OF PRESERVING THE HISTORICAL CITY,"The article highlights the methodological aspects of the architect’s work in the historical environment, reveals current trends and processes of transformation of the architectural and urban planning structure of historical cities. The main approaches to their reproduction and transformation are considered and analyzed. The concept of the central part of the historical city and the method of localization of its borders are revealed. The main requirements for the reproduction and development of buildings in the central part of historical cities are highlighted. The article describes the architectural and urban planning principles of reproduction and development of block development, which are based on the continuous development of the central part of the city, and allow the use of modern architectural and construction innovations in the structural, engineering and architectural solution of development. The article describes the ways of developing the planning structure of a historically formed centre, approaches to its transformation, and substantiates the advantages of developing a comprehensive project for the regeneration of the central part of the historical city, which should be based on the results of research conducted during the development of a historical and architectural reference plan. The program approach to the reconstruction of certain sectors of historical development is revealed.",Pohranychna I.; Yasinskyi M.,Journal,Architectural Studies,2021-12-23,Lviv Polytechnic National University,central part of the historical city ;  city centre ;  development of the city ;  historical city ;  reconstruction ;  regeneration ;  reproduction
General Airgap Field Modulation Theory for Electrical Machines and Its Typical Applications,"The general airgap field modulation theory normalizes a unit machine into a cascade of three basic elements, namely the excitation source, modulator and filter, analyzing almost all electric machines with different types and principles in a unified framework, offering a brand-new perspective and powerful tool for performance analysis and topology innovation, becoming one of the research hotspots in electrical engineering in recent years. This paper retrospected the historical development of electric machine theory, and briefly introduced the concept of the magnetic field modulation and basic framework of the general airgap field modulation theory and the attempts were made to further refine it. Detailed examples of how to use the developed theory to qualitatively analyze the operating principle, torque production mechanism and magnetic field modulation behaviors, to quantitatively calculate the electromagnetic performances like torque characters and losses, to make innovations from topologies of typical electric machines, and to optimize parameters under theoretical guidance were reviewed. Finally, the future researches and trends were prospected.",Cheng M.; Wen H.; Hua W.; Zhang G.,Journal,Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,2021-12-20,Southeast University,Electrical machine theory ;  Magnetic field modulation ;  Three elements ;  Torque production mechanism
A review of the research and application progress of new types of concrete-filled FRP tubular members,"In recent decades, fibre-reinforced polymers (FRPs) have received extensive attention from the civil engineering field due to their light weight, high strength, corrosion resistance, fatigue resistance, and designability. The forms of FRP products used in civil engineering structures include FRP sheets/plates, FRP bars/cables, FRP profiles, FRP grids, and FRP tubes. Among them, FRP tubes can not only be used as formwork for concrete pouring but can also provide lateral confinement similar to steel tubes; moreover, they have the advantages of corrosion resistance and nonmagnetic properties. Therefore, it is particularly suitable for newly built structures under harsh service environments. In recent years, extensive research on traditional concrete-filled FRP tubes (CFFTs) has already been widely carried out in terms of experimental tests and theoretical analysis, and scholars have turned their attention to innovations in the types of internally filled concrete. The concrete type has extended from ordinary concrete to sea-sand concrete (including seawater sea-sand concrete), lightweight aggregate concrete, recycled aggregate concrete, ultrahigh performance concrete, and alkali-activated concrete. In addition, in terms of the tube shape, a new type of curved FRP tubular arch has been innovatively developed. In light of the above, this paper comprehensively reviewed the latest innovative studies of FRP tube-reinforced concrete structures in terms of the filled concrete type and the tube shape in the literature, which can provide a reference for follow-up research and their actual application.",Dong Z.; Han T.; Zhang B.; Zhu H.; Wu G.; Wei Y.; Zhang P.,Journal,Construction and Building Materials,2021-12-20,"Key Laboratory of Concrete and Prestressed Concrete Structures, Ministry of Education;Nanjing Forestry University;Zhengzhou University",Compressive capacity ;  FRP tubular arches ;  FRP tubular columns ;  New type of concrete ;  Newly built structures
Construction of University Network Governance System Based on Artificial Intelligence and Network Algorithm Recommendation,"With the introduction of the concept of computer education, the Internet began to pay attention to education and learning, and a large number of Internet learning webpages came into being, covering all levels of education and science. Driven by this wave of education, the school actively encourages teachers to develop various online courses that are not restricted by time and space, and promote the innovation of learning models. Through these online platforms, some colleges and universities have developed online courses for college students, hoping to stimulate learners' intrinsic motivation and cultivate students' personality through online courses and other teaching methods. However, online courses have constructed a complex engineering system, and there are currently some problems, such as the unclear layout of online courses, and similar professional content design and evaluation methods. How to build a university network governance system has become an important research direction for experts and scholars. This article introduces artificial intelligence, calculates the construction data of the university network governance system based on the fitness function of artificial intelligence and network algorithms, and constructs a model diagram of the university network governance system. It is hoped that this research can play a positive role in the governance of university networks.",Li Y.; Xue H.,Conference Proceeding,ACM International Conference Proceeding Series,2021-12-18,Changshu Institute of Technology,Artificial Intelligence ;  Governance System ;  Network Algorithm ;  University Network
INNOVATION-BASED CITY AS A RESULT OF THE EVOLUTION OF THE SMART CITY SPATIAL ORGANIZATION,"The beginning of the third millennium is marked with the powerful implementation of IT technologies in all spheres of the modem society life, in particular, for the transformation of the spatial or-ganization of the city as a whole. Problem Statement. The functional and socio-planning organization of the territory of Ukrainian cities, as formed during the industrialization period of the 1930s and the restoration of the national economy period of the 1940s and 1950s, has been increasingly contradicting the general world trends in the formation of a modern comfortable living environment and needs to be reformed. Purpose. The purpose of this research is to identify trends in the formation of the urban space functional planning organization during the post-industrial period of society development and directions for the transformation of the territory and buildings from the existing condition into an innovation-based city. Materials and Methods. Systematization of results of the analysis of scholarly research pub-lications, legal framework, and information sources in the field of urban design during the post-industrial period of society development; graphoanalytic method of design and planning documen-tation analysis; structural and logical modeling. Results. The evolutionaly stages of the transformation of the ""idea!"" city paradigm from Re-naissance cities to modem ""smart "" and ""innovat ion-based"" cities have been characterized. The con -ceptual differences in the formation of the spatial organization of the smart and the innovation-based city have been identified; the features of horizontal and vertical urban space polyfunctionali-zation have been formulated. The principles and recommendations for the possible t ransformat ion of the Ukrainian cities territory have been developed. Conclusions. The key principles for the formation of the human comfortable and safe living environment evolve in strict accordance with the engineering, technological, and social basis of the society development. The current stage is characterized by the active implementation of the cutting-edge IT technologies in all spheres of life, causing the need to transform the urban space from the monofunctional use of territories to the horizontal and vertical polyfunctionalization. Such trends shall be enshrined in the legislative and regulatory framework of urban planning for the further im-plementation into the reconstruction practice of Ukrainian cities.",Pleshkanovska A.,Journal,Science and Innovation,2021-12-18,Institute of Urban Planning,City reconstruction ;  Ideal city ;  Innovation-based city ;  Monofunctional use ;  Polyfunctio- nal-ization of urban space ;  Smart city ;  Spatial organization
Characterization of disruptive education in a public university based on the use of digital tools on the ciscoWebEx digital platform,"This article focuses on the development of learning in university students focused on a process of change willing to take on the challenges of disruptive education by incorporating the intensive use of digital tools replacing traditional learning; since disruptive education must be reflected in educational practices that improve learning processes. From this perspective, it is important to ask: How does disruptive education influence the use of digital tools in students of the first cycle period 2021 at the National University of San Mart n? The objective of the research was: To measure the influence of disruptive education on the use of digital tools by I cycle students in the period 2021 at the National University of San Mart n. The study was of applied type. The sample consisted of 182 students from the 1st cycle of the National University of San Martin. The methods used in the research were: induction, deduction and analysis. In the process of implementation and execution of the research, it was possible to strengthen the capacities of the students in the use of digital tools in the development of their academic activities by interacting in the forum, questionnaire and task responding to the current context of virtuality. Evidenced in the hypothesis test: Disruptive education produces significant effects in the use of digital tools in the students of the I cycle in the period 2021 of the National University of San Mart n.",Lopez I.; Padilla M.; Juarez M.; Chauca M.; Ramirez W.,Conference Proceeding,ACM International Conference Proceeding Series,2021-12-17,Universidad Nacional De San Martín – Tarapoto;Universidad Nacional Tecnológica De Lima Sur,Educational innovation ;  Technological resources and Activities ;  Technological tools ;  Virtual education
Research on the Cultivation of Software Engineering Graduates Scientific Research Ability Based on Whole Process Control and Management,"The cultivation of graduates' scientific research ability is not only related to their scientific research and innovation abilities, but also related to the quality of graduate education in China. The cultivation process for the traditional software engineering graduates' scientific research ability pays more attention to graduates' capability in engineering application. However, under the background of world First class universities and disciplines construction in China, more emphasis should be placed on cultivating graduates' scientific research and innovation capabilities. In this paper, the scientific research ability of software engineering graduates has been divided into multiple dimensions, including solid professional foundation, the ability to discover problems, the ability to analyze and solve problems, the ability to express the opinions of scientific research and comprehensive scientific research literacy. We propose a scientific research ability cultivating system for software engineering graduates oriented to whole process control and management, and implement it with seven graduates majoring in software engineering as cases. The results show that compared with the previous graduates' cultivation, the scientific research ability of graduates in 2020 has been improved faster in all aspects. The system achieves relatively satisfactory results.",Yin M.; Song Z.; Hu J.,Conference Proceeding,ACM International Conference Proceeding Series,2021-12-17,Northwestern Polytechnical University,Scientific research ability ;  Software engineering ;  Whole process control and management
Internet+ Based Ecological Service Mechanisms for Labor Education,"With the rapid development of technologies such as the Internet+, cloud computing, big data, artificial intelligence, and virtual reality, labor education has changed from knowledge accumulation and simple labor skills to innovative and creative capacity improvement. At present, the research attentions of labor education are labor education curriculum, labor values, labor skills, whole-person education, five educations simultaneously, model worker spirits. However, labor education should turn to the multi-dimensionality of student development, is gradually integrated with the subject curriculum, and synergistically promotes the spread and penetration of labor ideas through interdisciplinary labor, collaborative labor, learning by doing, and innovative labor. Research on labor education should deeply shift to improve students' creative work: the development of integration of labor education and creative literacy, the transformation of labor objectives from the pursuit of simple labor knowledge and skills to innovation, the content of labor from school to school-enterprise alliance based on Internet + . In order to achieve the above, Internet + technology and the eco-service mechanism are very important. Therefore, this study introduces Internet + technology to build the eco-service mechanism of labor education. Internet + technology broadens the possibility of resource source of labor education, combination, and creation, eliminates labor fragmentation. Internet + technology also promotes the ecological flow and comprehensive service of labor education resources to enhance the overall quality of labor education. In the service mechanism of labor education, the enterprise's labor tutors and campus labor teachers are introduced into the labor space and the superior resources of labor space to promote students to labor innovation and improve creative wisdom skills in the cooperation and exchange of diverse talents, and committees to cultivating comprehensive talents with innovative labor thinking and innovative capabilities.",Zhan Q.; Chen X.,Conference Proceeding,ACM International Conference Proceeding Series,2021-12-17,TianJin University of Technology and Education;Beijing Application Senior Technical School,Ecology ;  Internet+ ;  Labor education ;  Service mechanism
