Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Performance evaluation of dual system structure with belt truss,"In structural engineering applications, boundaries of building deflection or interstory drift are important issues. In tall buildings that are more than or equal to 60 floors in the current era, the Belt Truss System is used in the building structure. The function of the Belt Truss is useful to reduce deflection that occurs in buildings by converting the building's moment to the axial column of the exterior column. The Structure of the Belt Truss itself can use reinforced concrete structures and steel structures. Because the Belt Truss structure is an innovation in the world of structural engineering, the earthquake load parameter values do not depend on the applicable Building Standart Codes. Standard Codes of Earthquake Resistant Building require parameters of the Response Modification Coefficient (R), Over Strength Factor (Ωo), and Deflection Amplification Factor (Cd) for determining earthquake loads. Because the parameters in the Belt Truss structure are not listed in the Standard Codes of Earthquake Resistant Building, the earthquake load parameters of the Belt Truss were determined. The method used in this research is literature study using Pushover Analysis according to ATC-40 and FEMA 356.","Utomo, Dwi Prasetyo;Soegiarso, Roesdiman",Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2020-12-30,Faculty of Engineering,
Vocational teachers readiness in face of the industrial revolution 4.0: Vocational teachers perceptions in Yogyakarta-Indonesia,"Vocational learning requires new reconstruction in accordance with the demands of globalization. As a result, vocational teachers must carry out new concepts in their learning. This study aims to obtain facts from the learning readiness of vocational teachers in the field of automotive engineering expertise in facing industry 4.0 challenges. This study uses a survey method approach. Data generated from the teacher perception instrument in Yogyakarta - Indonesia with a Likert scale. A total of 71 vocational teachers were involved in the study. The results showed that digital transformation, design principles, learning innovations and vocational teacher skills development have a readiness range between 75.00% -79.8% which is in a good category and needs to increase perceptions widely and deeply. An important finding from the facts of this research is that learning is emphasized on the role of digitalization and technology that is relevant to industry, business, and the world of work (IDUKA).","Gunadi, ;Sofyan, H.;Nurtanto, Muhammad;Arifin, Z.;Sudira, Putu",Conference Proceeding,Journal of Physics: Conference Series,2020-12-30,Universitas Sultan Ageng Tirtayasa;Universitas Negeri Yogyakarta,
An analysis of configurations of relationship quality dimensions to explain sources of behavioral outcomes in globalized manufacturing,"Purpose: This paper aims to explore the role of configurations of relationship quality dimensions for explaining sources of behavioral outcomes in the globalized manufacturing industry. Design/methodology/approach: A joint analysis of behavioral and objective performance data from globalized manufacturing links perceptual customer metrics that relate to dimensions of relationship quality (i.e. attitudinal loyalty, perceived customer orientation, customers’ perceived innovativeness of the supplier and perceived customer influence on supplier innovation) with behavioral outcomes (i.e. share of wallet (SOW) and customer account profitability). Using data from a global business-to-business (B2B) customer survey together with archival performance data from a multinational mechanical engineering firm, a fuzzy set qualitative comparative analysis (fsQCA) is performed. Findings: The fsQCA results suggest that perceptual customer metrics related to innovation can be relevant aspects of relationship quality, in line with Anderson and Mittal’s (2000) satisfaction-repurchase-profitability chain framework and its adaptation to SOW. However, the underlying complexities in the different combinations of attributes in the recipe are such that they are not equifinal in leading to higher SOW or higher profitability. This paper finds indications for non-linearities between perceptual measures investigated and profitability of customer accounts, with particular relevance for the role of perceived customer orientation, perceived product innovativeness of the supplier and attitudinal loyalty. Research limitations/implications: The analysis faces a number of limitations, starting with its reliance on cross-sectional survey data, which does not enable us to account for feedback mechanisms, for example, arising from customer perceptions regarding innovation aspects. The lack of a multidimensional conceptionalization of the perceptual customer constructs may have limited the analysis, considering also recent evidence from retail companies in the furniture sector in Spain, suggesting that the multidimensional conceptualization of relationship value explained satisfaction and loyalty levels to a greater extent than the one-dimensional conceptualization (Ruiz-Martínez et al., 2019). Practical implications: In terms of managerial implication, the results suggest that customers perceive limited value in participating in the focal firm’s innovation value chain funnel, hence customer loyalty cannot be bought using simple incentive strategies. The results with regard to customer account profitability suggest that B2B customers investigated here may distinguish when interacting with their globalized supplier in the innovation funnel: they may see a positive customer value when the innovation is a product, and thus, relation-specific, whereas they may see limited customer value when innovation is considered in more generic terms (customers’ perceived influence on supplier innovation in general). Originality/value: This paper starts from the premise that perceptual customer metrics can matter for supplier performance, as the customer relationship and customer value management research has shown. However, there is limited empirical evidence from globalized manufacturing sectors incorporating perceptual constructs in behavioral outcomes, and limited evidence assessing customer-perceived value in such sectors through alternate approaches to main-effects focused analyzes. We employ qualitative comparative analysis using fuzzy sets (Russo et al., 2019) to address these gaps, focusing on two key behavioral outcomes, namely, customer account profitability and SOW.","Steiner, Bodo;Brandhoff, Moritz",Journal,European Journal of Marketing,2020-12-28,Helsingin Yliopisto;Energie-Control GmbH,B2B customer value ;  Customer catisfaction ;  fsQCA ;  Global business ;  Innovation ;  Loyalty ;  Manufacturing industries ;  Mechanical engineering ;  Perceptual customer constructs ;  Share of wallet
Leveling up SeGaP: An Action Research Approach to Develop an Innovation Prize,"Innovation prize as a popular policy instrument has a wide range of rationales for inducing and motivating science, technology and innovation (STI) efforts within an innovation system. As one of their oldest applications, they can be utilized to stimulate RandD in a given field. Yet other policy objectives such as supporting commercialization, networking and solving strategic challenges have been considered for them. Since serious gaming is gaining a great attention in the transformation era of education, training and healthcare, public support for the research, development and promotion of SGs is of significant importance. Accordingly, SeGaP is an innovation prize for the stimulation of science, technology and innovation (STI) performance in this area. This paper attempts to present the evolution of SeGaP with an action research approach to review the role of this innovation prize in the enhancement of SG ecosystem. The results show that the best application of SeGaP is to legitimize the SGs in the society and create a network among different stakeholders for the growth of this ecosystem. It is also shown that there are major issues regarding the commercialization of SGs which has to be solved by a mix of different policy instruments.","Nasiri, Hamed;Alizadeh, Fariba;Ghazinoori, Soroush",Conference Proceeding,"Proceedings of the 2nd International Serious Games Symposium, ISGS 2020",2020-12-23,Allameh Tabataba'i University;University of Tehran,Innovation Prize ;  Policy Design ;  Serious Games ;  STI Policy Instruments
Innovation or Introduction? The Impact of Technological Progress Sources on Industrial Green Transformation of Resource-Based Cities in China,"With the increasingly prominent problems of global resource consumption and environmental pollution, industrial green transformation has become one of the requirements of China’s industrial development in the new era. However, there is a lack of research on the impact of technological innovation and technology introduction on the industrial green transformation of resource-based cities. To bridge this gap, this study uses the panel data of 115 resource-based cities in China from 2003 to 2016, and uses the dynamic panel generalized method of moments (GMM) estimation method to study the impact of technological innovation and technology introduction on industrial green transformation of resource-based cities. The results show that technology introduction has a negative effect on the industrial green transformation of resource-based cities, while technological innovation can have a positive effect. Meanwhile, technology introduction has imparted a greater role to technological innovation in promoting this transformation. In addition, the interactive effects between technological innovation and technology introduction have obvious heterogeneity on the industrial green transformation of different types of resource-based cities. Therefore, resource-based cities should continue to increase investment in scientific research, to constantly improve and consolidate their technological innovation ability, optimize foreign investment strategy in technology introduction, and strengthen the digestion and absorption of imported technology, while increasing technological innovation and personnel training.","Xie, Wancheng;Yan, Taihua;Xia, Senmao;Chen, Fengzhang",Journal,Frontiers in Energy Research,2020-12-22,Chongqing University;Coventry University,China ;  industrial green transformation ;  resource-based cities ;  technological innovation ;  technology introduction
Stem Cells and Organoid Technology in Precision Medicine in Inflammation: Are We There Yet?,"Individualised cellular models of disease are a key tool for precision medicine to recapitulate chronic inflammatory processes. Organoid models can be derived from induced pluripotent stem cells (iPSCs) or from primary stem cells ex vivo. These models have been emerging over the past decade and have been used to reconstruct the respective organ-specific physiology and pathology, at an unsurpassed depth. In cancer research, patient-derived cancer organoids opened new perspectives in predicting therapy response and provided novel insights into tumour biology. In precision medicine of chronic inflammatory disorders, stem-cell based organoid models are currently being evaluated in pre-clinical pharmacodynamic studies (clinical studies in a dish) and are employed in clinical studies, e.g., by re-transplanting autologous epithelial organoids to re-establish intestinal barrier integrity. A particularly exciting feature of iPSC systems is their ability to provide insights into organ systems and inflammatory disease processes, which cannot be monitored with clinical biopsies, such as immune reactions in neurodegenerative disorders. Refinement of differentiation protocols, and next-generation co-culturing methods, aimed at generating self-organised, complex tissues in vitro, will be the next logical steps. In this mini-review, we critically discuss the current state-of-the-art stem cell and organoid technologies, as well as their future impact, potential and promises in combating immune-mediated chronic diseases.","Tran, Florian;Klein, Christine;Arlt, Alexander;Imm, Simon;Knappe, Evelyn;Simmons, Alison;Rosenstiel, Philip;Seibler, Philip",Journal,Frontiers in Immunology,2020-12-21,University of Oxford;Universität Oldenburg;Universität zu Lübeck;Christian-Albrechts-Universität zu Kiel;Nuffield Department of Medicine;Universitätsklinikum Schleswig-Holstein Campus Kiel,cancer ;  co-culture ;  host-microbe ;  immune-epithelial interactions ;  induced pluripotent stem cells ;  patient derived organoids ;  precision medicine ;  stem cell
The knowledge spillover effects of green technology innovation of low carbon regulation,"The green technology spillover (GTS) is conducive to follower's innovation opportunities but harmful to pioneer's innovation advantages. Based on the knowledge production function and the panel data of cities in China, this paper discusses the effects of GTS on the relationship between the low carbon regulation (LCR) and the green technology innovation (GTI) by using the Spatial Durbin Model. We found that LCR makes a decrease-increase effect of the pioneer's GTI different from an increase-decrease effect of the follower's GTI.","Ding, Youqiang;Xiong, Aihua",Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2020-12-21,Shandong University of Finance and Economics,
Recent advancement in the natural fiber polymer composites: A comprehensive review,"In the recent decade, growth of the natural fiber reinforced polymer (NFRP) composite has made a considerable impact on the polymer composite research and innovation. This rapid growth warranted their properties over low-cost synthetic fiber composites and reduced environmental impacts. As these materials have potential applications in the various engineering sectors, considerable efforts have been made to improve their performance. In recent year's various modifications were introduced in the natural fiber composites which increased their capability. The aim of this review is to highlight the trends in the research and development on NFRP and its performance from the year 2000–2019. This review article covers current research efforts on the NFRP fabrication, its properties such as mechanical strength, tribological, water, and chemical resistance behaviour, thermal effects, biodegradability and machining characteristics along with their trends, challenges and prospects in the field of NFRP.","Vigneshwaran, S.;Sundarakannan, R.;John, K. M.;Joel Johnson, R. Deepak;Prasath, K. Arun;Ajith, S.;Arumugaprabu, V.;Uthayakumar, M.",Journal,Journal of Cleaner Production,2020-12-20,Saveetha School of Engineering;Kalasalingam Academy of Research and Education,Fiber composites ;  Machining characteristics ;  Mechanical behaviour ;  Natural fiber ;  Thermal characteristics ;  Tribology behaviour ;  Vibrational characteristics
Circular business model experimentation: Demystifying assumptions,"Circular business model experiments may help firms transition towards a circular economy. Little is known about how the participants of experimentation – entrepreneurs, intrapreneurs, innovation managers – develop and test their assumptions during the experimentation process to achieve more circular outcomes. Using a design-science approach, we investigate this process and develop principles to improve it. This is done during three workshops in different contexts: an innovation festival with 14 early-stage circular startups, a workshop with a health technology incumbent, and a workshop with six growth-oriented startups. We find that analyzing their available means – what they find important and prefer to happen (part of their identity), what they know (their skills and knowledge), and whom they know (their social network) – helps to understand how the participants develop and test their assumptions. We show how the mindset and awareness of the participants impact how much attention they pay to the circularity potential of their envisioned circular business models. Based on these insights, we propose a set of principles to prepare the innovation participants for experimentation, and to increase their ability to reflect on their circularity assumptions. Future research is needed to further grow our understanding of the types of principles that can guide meaningful experimentations towards a circular economy.","Konietzko, Jan;Baldassarre, Brian;Brown, Phil;Bocken, Nancy;Hultink, Erik Jan",Journal,Journal of Cleaner Production,2020-12-20,The International Institute for Industrial Environmental Economics;Delft University of Technology,Business model ;  Business model innovation ;  Circular economy ;  Effectuation ;  Experimentation ;  Lean startup ;  Sustainability
Take Gansu Province as an Example to Study the Promotion of Technological Innovation on Agricultural Economy,"During the 13th Five-Year Plan period, under the support of the national agricultural innovation policy of benefiting and strengthening agriculture, the agricultural economy of Gansu Province developed rapidly.The regional advantage industry represented by potato industry has begun to take shape, but it still faces a series of problems such as insufficient development momentum.In the face of the limitation of natural resources and the bottleneck of agricultural technology development, transformation and popularization, all departments should take joint action and based on the fundamentals. Simultaneously, learn from the achievements of developed countries such as Israel, Japan, and the Netherlands, through balancing the application of scientific research achievements, reasonably developing agricultural technology and accelerating patent transformation, then improving the agricultural innovation technology extension system, so as to further play the role of agricultural innovation in promoting agricultural economic development.","Sang, Yinan",Conference Proceeding,ACM International Conference Proceeding Series,2020-12-18,Northwest A&F University,:Agricultural technology innovation ;  agricultural economy ;  promoting role
