Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
CRISPR/Cas9 as precision and high-throughput genetic engineering tools in gastrointestinal cancer research and therapy,"Gastrointestinal cancer (GI) is one of the most serious and health-threatening diseases worldwide. Many countries have encountered an escalating prevalence of shock. Therefore, there is a pressing need to clarify the molecular pathogenesis of these cancers. The use of high-throughput technologies that allow the precise and simultaneous investigation of thousands of genes, proteins, and metabolites is a critical step in disease diagnosis and cure. Recent innovations have provided easy and reliable methods for genome investigation, including TALENs, ZFNs, and the CRISPR/Cas9 (clustered regularly interspaced palindromic repeats system). Among these, CRISPR/Cas9 has been revolutionary tool in genetic research. Recent years were prosperous years for CRISPR by the discovery of novel Cas enzymes, the Nobel Prize, and the development of critical clinical trials. This technology utilizes comprehensive information on genes associated with tumor development, provides high-throughput libraries for tumor therapy by developing screening platforms, and generates rapid tools for cancer therapy. This review discusses the various applications of CRISPR/Cas9 in genome editing, with a particular focus on genome manipulation, including infection-related genes, RNAi targets, pooled library screening for identification of unknown driver mutations, and molecular targets for gastrointestinal cancer modeling. Finally, it provides an overview of CRISPR/Cas9 clinical trials, as well as the challenges associated with its use.","Hosseini, Sayedeh Azimeh;Salehifard Jouneghani, Alizamen;Ghatrehsamani, Mahdi;Yaghoobi, Hajar;Elahian, Fatemeh;Mirzaei, Seyed Abbas",Journal,International Journal of Biological Macromolecules,2022-12-31,Shahrekord University of Medical Sciences,CRISPR/Cas9 ;  Gastrointestinal cancers ;  Genetic engineering ;  Infectious diseases ;  Non-coding RNA ;  Organoid cancer modeling
Metal Halide Perovskite/Electrode Contacts in Charge-Transporting-Layer-Free Devices,"Metal halide perovskites have drawn substantial interest in optoelectronic devices in the past decade. Perovskite/electrode contacts are crucial for constructing high-performance charge-transporting-layer-free perovskite devices, such as solar cells, field-effect transistors, artificial synapses, memories, etc. Many studies have evidenced that the perovskite layer can directly contact the electrodes, showing abundant physicochemical, electronic, and photoelectric properties in charge-transporting-layer-free perovskite devices. Meanwhile, for perovskite/metal contacts, some critical interfacial physical and chemical processes are reported, including band bending, interface dipoles, metal halogenation, and perovskite decomposition induced by metal electrodes. Thus, a systematic summary of the role of metal halide perovskite/electrode contacts on device performance is essential. This review summarizes and discusses charge carrier dynamics, electronic band engineering, electrode corrosion, electrochemical metallization and dissolution, perovskite decomposition, and interface engineering in perovskite/electrode contacts-based electronic devices for a comprehensive understanding of the contacts. The physicochemical, electronic, and morphological properties of various perovskite/electrode contacts, as well as relevant engineering techniques, are presented. Finally, the current challenges are analyzed, and appropriate recommendations are put forward. It can be expected that further research will lead to significant breakthroughs in their application and promote reforms and innovations in future solid-state physics and materials science.","Li, Deli;Dong, Xue;Cheng, Peng;Song, Lin;Wu, Zhongbin;Chen, Yonghua;Huang, Wei",Journal,Advanced Science,2022-12-28,Nanjing Tech University;Fujian Normal University;Nanjing University of Post and TeleCommunications;Northwestern Polytechnical University,artificial synapses ;  charge transporting layer ;  perovskite/electrode contact ;  solar cells ;  transistors
Development and practice of national first-class undergraduate course “bioengineering equipment”,"As a strategic emerging industry of China, the biotechnology industry develops rapidly in recent years, which significantly increased the demand for creative and capable talents. As a core curriculum of bioengineering specialty, biotechnology equipment plays an important role in fostering such talents. To address the problems in biotechnology equipment course teaching such as limited equipment availability, limited engineering practice, and lack of learning motivations, curriculum reform and optimization were performed based on curriculum resource development, virtual reality-physical combined engineering training, and boosting learning motivations. The optimized teaching contents focus on fostering morality, intelligence, and creative practice abilities by connecting new requirements of social development, introducing new progress in biotechnology research, as well as new practices in research and development (R&D). Measures such as teaching methods innovation, assessment and evaluation methods optimization, cutting-edge R&D progress, diverse resources integration, and online-offline combined teaching, were developed to boost the learning motivation and foster the innovation competence of students. By above exploration and practice, the practice and innovation competence of students were significantly enhanced.","Wang, Yuanshan;Niu, Kun;Cheng, Feng;Wu, Zheming;Xu, Jianmiao;Song, Xiaofei;Zheng, Yuguo",Journal,Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,2022-12-25,Zhejiang University of Technology,biotechnology equipment ;  biotechnology industry ;  creative practice ability ;  industry-education integration
Green technology innovation in China city system: Dynamics and determinants,"Green technology innovation is the first driving force to promote green development and harmonious coexistence between human and nature. Green technology innovation is the core issue of environmental economics, innovation economics, innovation management and other research fields. It is also one of the emerging topics in the field of environmental economic geography in recent years. Overall, the research on enterprise level is dominant, while the research on spatial scale is relatively less. In this paper, by deriving green patent applications for measuring green technology innovation from the Wanfang Patent Database, the spatial and temporal characteristics and its determinants of green technology innovation in China's city system from 2007 to 2017 are explored. The results indicate that technologies related to buildings has dominated the development of environmental innovation in China's city system, while technologies in the field of greenhouse gases and water adaptation were quite unpopular throughout China. In 2007, China's environmental innovation was dominated by individuals and enterprises. By 2017, enterprises have become the main body of China's environmental innovation, highlighting the essential characteristics of enterprises as the subject of environmental innovation. In space, the geography of environmental innovation in China's city system presents a strong spatial imbalance feature, a tripolar pattern dominated by the Yangtze River Delta, the Pearl River Delta, and the Beijing-Tianjin region has become increasingly prominent. In terms of determinants, spatial Durbin model regression results reflect that there are significant spatial spillover effects and path dependence characteristics in China's environmental innovation. Environmental regulation intensity, city size, market size, technological innovation level, FDI, and air quality have obvious positive effects on urban environmental innovation, while the industrial structure dominated by secondary industry has obvious inhibitory effect on urban environmental innovation.","Duan, Dezhong;Du, Debin",Journal,Dili Xuebao/Acta Geographica Sinica,2022-12-25,East China Normal University,China ;  Determinants ;  Green patents ;  Green technology innovation ;  Innovation subjects ;  Space- time pattern
Evolving Roles and Implications of Technology Enabled by 5 G in Various Industries,"Many wireless technologies of mobile which have been existing for various generations have been studied for this paper. Terms such as its performance over the period, benefits, problems, or the portals were reviewed. This particular paper aims to throw light on the overall or time-being evolution of wireless technology of mobile and its development in the present era along with scope in the future in various fields. Comparing the few past decades of this technology, it has been prominent that this technology had evolved from being IG to 4G and now being the current evolution of 5G which became a revolution in today's era. It is an advanced implementation of wireless technology. In this research main focus would be 5G development over some time and the benefits drawn from it by the various sectors such as education, service, and health, which are considered the prominent sectors of our economy.","Garg, Tanya;Sharma, Heemika;Goyal, Ruchi",Conference Proceeding,ACM International Conference Proceeding Series,2022-12-23,JECRC University,5G Network ;  Cellular ;  Healthcare ;  Innovation ;  Technology
Biomimicry in nanotechnology: a comprehensive review,"Biomimicry has been utilized in many branches of science and engineering to develop devices for enhanced and better performance. The application of nanotechnology has made life easier in modern times. It has offered a way to manipulate matter and systems at the atomic level. As a result, the miniaturization of numerous devices has been possible. Of late, the integration of biomimicry with nanotechnology has shown promising results in the fields of medicine, robotics, sensors, photonics, etc. Biomimicry in nanotechnology has provided eco-friendly and green solutions to the energy problem and in textiles. This is a new research area that needs to be explored more thoroughly. This review illustrates the progress and innovations made in the field of nanotechnology with the integration of biomimicry.","Himel, Mehedi Hasan;Sikder, Bejoy;Ahmed, Tanvir;Choudhury, Sajid Muhaimin",Journal,Nanoscale Advances,2022-12-22,Bangladesh University of Engineering and Technology;BRAC University,
Enhancing U.S. science and innovation with novel Cross-Sector partnerships,"A planning committee of the National Academies of Sciences, Engineering, and Medicine will organize a workshop to discuss novel public-private-academic partnerships across the research enterprise. The workshop will consider current and proposed multi-sector partnerships that enhance science and technology innovation, national security, and national prosperity, and will explore the motives, responsibilities, concerns, and objectives that bring institutions to the table to pursue and sustain partnership. Collaborations between government, universities, and industry with non-profit organizations, philanthropic foundations, and venture capital partners will also be discussed. A rapporteur-authored proceedings-in brief will be published summarizing the workshop.",,Book,Enhancing U.S. Science and Innovation with Novel Cross-Sector Partnerships,2022-12-21,,
"Smart Hydrogen Atoms in Heterocyclic Cations of 1,2,4-Triazolium-Type Poly(ionic liquid)s","ConspectusDiscovering and constructing molecular functionality platforms for materials chemistry innovation has been a persistent target in the fields of chemistry, materials, and engineering. Around this task, basic scientific questions can be asked, novel functional materials can be synthesized, and efficient system functionality can be established. Poly(ionic liquid)s (PILs) have attracted growing interest far beyond polymer science and are now considered an interdisciplinary crossing point between multiple research areas due to their designable chemical structure, intriguing physicochemical properties, and broad and diverse applications. Recently, we discovered that 1,2,4-triazolium-type PILs show enhanced performance profiles, which are due to stronger and more abundant supramolecular interactions ranging from hydrogen bonding to metal coordination, when compared with structurally similar imidazolium counterparts. This phenomenon in our view can be related to the smart hydrogen atoms (SHAs), that is, any proton that binds to the carbon in the N-heterocyclic cations of 1,2,4-triazolium-type PILs. The replacement of one carbon by an electron-withdrawing nitrogen atom in the broadly studied heterocyclic imidazolium ring will further polarize the C-H bond (especially for C5-H) of the resultant 1,2,4-triazolium cation and establish new chemical tools for materials design. For instance, the H-bond-donating strength of the SHA, as well as its Broønsted acidity, is increased. Furthermore, polycarbene complexes can be readily formed even in the presence of weak or medium bases, which is by contrast rather challenging for imidazolium-type PILs. The combination of SHAs with the intrinsic features of heterocyclic cation-functionalized PILs (e.g., N-coordination capability and polymeric multibinding effects) enables new phenomena and therefore innovative materials applications.In this Account, recent progress on SHAs is presented. SHA-related applications in several research branches are highlighted together with the corresponding materials design at size scales ranging from nano- to micro- and macroscopic levels. At a nanoscopic level, it is possible to manipulate the interior and outer shapes and surface properties of PIL nanocolloids by adjusting the hydrogen bonds (H-bonds) between SHAs and water. Owing to the interplay of polycarbene structure, N-coordination, and the polymer multidentate binding of 1,2,4-triazolium-type PILs, metal clusters with controllable size at sub-nanometer scale were successfully synthesized and stabilized, which exhibited record-high catalytic performance in H2 generation via methanolysis of ammonia borane. At the microscopic level, SHAs are found to efficiently catalyze single crystal formation of structurally complex organics. Free protons in situ released from the SHAs serve as organocatalysts to activate formation of C-N bonds at room temperature in a series of imine-linked crystalline porous organics, such as organic cages, macrocycles and covalent organic frameworks; meanwhile the concurrent ""salting-out""effect of PILs as polymers in solution accelerated the crystallization rate of product molecules by at least 1 order of magnitude. At the macroscopic scale, by finely regulating the supramolecular interactions of SHAs, a series of functional supramolecular porous polyelectrolyte membranes (SPPMs) with switchable pores and gradient cross-sectional structures were manufactured. These membranes demonstrate impressive figures of merit, ranging from chiral separation and proton recognition to switchable optical properties and real-time chemical reaction monitoring. Although the concept of SHAs is in the incipient stage of development, our successful examples of applications portend bright prospects for materials chemistry innovation.","Liu, Si Hua;Wang, Hong;Sun, Jian Ke;Antonietti, Markus;Yuan, Jiayin",Journal,Accounts of Chemical Research,2022-12-20,Stockholms universitet;Nankai University;Beijing Institute of Technology;Max-Planck-Institut für Kolloid- und Grenzflächenforschung,
Bi<inf>2</inf>O<inf>2</inf>Te Nanosheets Saturable Absorber-Based Passive Mode-Locked Fiber Laser: From Soliton Molecules to Harmonic Soliton,"As a recent addition to the emerging 2D bismuth oxychalcogenides (Bi2O2X, where X = S, Se, and Te), atomically-thin bismuth oxytellurium (Bi2O2Te) exhibits unique thermoelectric and photoelectric properties. In this study, high-quality Bi2O2Te nanosheets (NSs)-based saturable absorber (SA) with a modulation depth of 8.2% is developed using the liquid phase exfoliation (LPE) method and is successfully applied to a passively mode-locked Er-doped fiber laser (EDFL) for the first time (with reference to the available literature). Due to the excellent nonlinear saturable absorption property of Bi2O2Te NSs, various switchable and stable mode-locking states can be realized in the same EDFL, including fundamental frequency conventional soliton (CS), soliton molecules, and harmonic mode-locking (HML) states. Among them, the CS pulse at 7.48 MHz (fundamental frequency) with a high signal-to-noise ratio (SNR) of 67.25 dB is obtained. The 2nd, 3rd, and 4th-order soliton molecules are observed with a soliton pulse separation of ≈6.2 ps. Moreover, for HML, a maximum repetition rate of 1.78 GHz (i.e., corresponding to the 238th-order harmonic) is obtained. The results reveal that Bi2O2Te NSs demonstrate excellent nonlinear optical modulation properties and can serve as a fundamental basis for promotion of academic research and innovation of engineering applications involving ultrafast photonics.","Hui, Zhanqiang;Bu, Xiaofeng;Wang, Yuanhong;Han, Dongdong;Gong, Jiamin;Li, Lu;Li, Xiaohui;Yan, Shuangyi",Journal,Advanced Optical Materials,2022-12-19,Xi'an Institute of Posts and Telecommunications;University of Bristol;Shaanxi Normal University,2D materials ;  Bi  O  Te 2 2 ;  harmonic mode-locking ;  mode-locked fiber laser ;  saturable absorber ;  soliton molecules
Application of Modeling and Simulation Technology in Teaching Practice of Engineering Mechanics,"Experiment teaching is the teaching difficulty of Engineering Mechanics in vocational colleges. The lack of relevant equipment poses a great challenge to teaching. In order to solve this problem and improve the quality of teaching, the research group proposed a strategy using simulation technology. The torsion experiment of Engineering Mechanics was used as a case for teaching practice. Firstly, the problems in the teaching were analyzed. Secondly, the research group proposed a targeted teaching design. Thirdly, the finite element model was established and simulated on a server. Fourthly, the digital teaching resources were sorted out based on the simulation results. Fifthly, teaching practice had been implemented in the classroom. Finally, the quality of teaching practice was evaluated. The results show that modeling and simulation technology can significantly improve the quality of teaching. The enthusiasm of the students has been significantly improved. The colorful nephograms are convenient for students to understand the boring knowledge. This study provides ideas for the innovation of experimental teaching and the development of curriculum resources in vocational colleges. More new technologies should be explored and tried by more scholars.","Wang, Shang;Zhu, Qingsong;Zhen, Xuesong",Conference Proceeding,ACM International Conference Proceeding Series,2022-12-16,Beijing Polytechnic,Finite element model ;  Simulation ;  Teaching design ;  Torsion experiment
