Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Architectural-Typological Innovations as a Key Factor for Sustainable Development of Specially Protected Natural Areas,"The issues of improving the architectural solutions of the objects of infrastructure for specially protected natural areas of the Russian Federation considered from the point of view of tourist activity activation. Extensive international experience analyzed. The relationship investigated between the typological diversity of buildings and structures and the categories of territories, which is determined depending on the landscape value and the mode of operation (reserves, national parks, natural parks, nature sanctuary, natural monuments, arboretums and botanical gardens). The conclusions were that the development of scientific research and educational activities in natural areas and settlements with active tourist traffic should be associated with the design and construction of multifunctional buildings, saturation of areas with municipal and engineering facilities contributes for the safety of operation, the use of resource-saving technologies increases the comfort of people's stay.",Vavilova T.; Bakhareva Y.,Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2018-12-31,Samara State Technical University,
The bioeconomy of waste-to-energy production,"This chapter concerns the biobased materials for chemicals and approaches the energy markets, which remain as a reference of the global sustainable resources. There is a plethora of raw materials and industrial processes that can be used as biobased substances, including agricultural residues, straws, wood, and urban garbage, which may be semantically classified as "" waste."" The latter is the surplus material for the co-production of valuable and sustainable biofuels, chemical compounds, electricity and heat. The use of waste as biobased material can prevent the hazardous effects to the environment that result from food cultivation for biofuels production. To understand the global efforts on knowledge production and their relations with the research and development (R&D) in this bioeconomy field, this chapter presents a Science, Technology and Innovation map of biobased "" waste"" materials. In addition, the R&D dynamics of an enterprise is analyzed. Two methodological approaches are integrated: the scientometric analysis of the global scientific production as well as the innovation scenarios for "" waste,"" and the patent citation networks by technological categories, because this is a thorough economic indicator of R&D efforts. Results show an enormous but technologically immature pattern of investments in the last decade, changing from chemical to biological technical bases. Considering the industrial and engineering processes and the demands for technological development on those materials, four enterprises seem to have an integrated group of technologies considering a reasonable potential for future "" waste markets."" In this context, the conclusions in this study may support R&D policies and entrepreneurial investments, especially by the identification of emerging areas and allocation of knowledge resources for industrial sustainable development.",Dal-Poz M.,Book,Waste-to-Energy (WtE),2018-12-28,Universidade Estadual de Campinas,Bioeconomy ;  Innovation ;  Networks ;  Patent indicators ;  Scientometrics ;  Sustainable materials
Development of MR Clutch for a Prospective 5 DOF Robot∗ This work was supported in part by Canada Foundation for Innovation (CFI) and Natural Sciences and Engineering Research Council (NSERC) of Canada under grant No.25031 and RGPIN-346166.,"This paper presents an improved design approach for the construction of a Magneto-Rheological (MR) clutch intended to be used in a prospective 5 degrees of freedom robot. The MR clutch features embedded Hall sensors for intrinsic torque control. After a brief description of the MR clutch principles, the details of the mechanical design are discussed. Simulation and preliminary experimental results demonstrate the main characteristics and advantages of the proposed MR clutch.",Pisetskiy S.; Kermani M.,Conference Proceeding,IEEE International Conference on Intelligent Robots and Systems,2018-12-27,Western University,
Educational innovations in Engineering education: Sustainability of funded projects developed in Portuguese higher education institutions,"The importance of promoting educational innovations in higher education has been highlighted by the research community (e.g. educational researchers) and also by the academic community (e.g. university teachers). Educational innovations could be educational resources and/or teaching, learning and assessment strategies for the purpose of improving teachers' academic practices and/or students' learning achievements. This paper presents a study focused on the sustainability of educational innovations developed in engineering courses, with a particular emphasis on the teachers' role. These innovations were developed by educational researchers and/or engineering teachers of public Portuguese Higher Education Institutions (universities and institutes) in the scope of financed projects. A collective case study was carried out in order to characterize projects supported by national research funding agencies, between 2006 and 2013. Document analysis of the projects' materials (e.g. scientific reports) was carried out and interviews with coordinators of selected projects were conducted. These aimed to determine the extent to which these projects have considered the impact and sustainability of educational innovations, since their conception. The sustainability involved at least part of its implementation, modification and/or expansion of the educational innovations in other contexts (e.g. other Engineering courses) by participants of the project (e.g. university teachers). Results showed that some of the developed educational innovations were sustained after the end of the funding, but that this issue should be analyzed further. Guidelines are proposed herein to enhance the sustainability of educational innovations developed in higher education following the conclusion of projects, in order to provide more information to educational policies, funding agencies and involved actors (e.g. teachers).",Guerra C.; Costa N.,Conference Proceeding,"3rd International Conference of the Portuguese Society for Engineering Education, CISPEE 2018",2018-12-27,Centro de Investigação Didática e Tecnologia na Formação de Formadores (CIDTFF),Educational innovations ;  Engineering Education ;  Portuguese higher education institutions ;  Sustainability of funded research
Performance indicators to support the governance of research networks,"Research centres to be excellent, increasingly need to develop or add skills to respond quickly to challenges of Research and Development (RD) with increasing complexity. In this context, the route passes through the promotion of R D networks where predominates sharing/transfer of knowledge and resources. In this way, the development of performance indicators focused on collaboration can help those in charge of managing research centres in decision-making processes and in defining best strategies. Applying concepts of social network theory, this article presents a model that allows to evaluate the performance of RD centres and research networks according to various perspectives.",Abreu A.; Calado J.; Dias A.,Conference Proceeding,"3rd International Conference of the Portuguese Society for Engineering Education, CISPEE 2018",2018-12-27,Instituto Superior de Engenharia de Lisboa;Instituto de Desenvolvimento de Novas Tecnologias;Instituto Superior Técnico,Open-innovation ;  Organizational management ;  Performance indicators ;  Research networks ;  Social network analysis
Optimized methodology using multi-choice question tests on paper from question authoring to grade publishing,"The introduction of the FCT Curricular Profile at Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa, a pioneering pedagogical model in Portugal, allowed to accommodate transversal skills, such as research and entrepreneurialism, soft skills and contact with industry in all its BSc, MSc and integrated MSc curricula. Since these skills are increasingly being recognized by employes, the chances for the Faculdade de Ciências e Tecnologia of Universidade Nova de Lisboa s students to be successful in the job market tend to increase. However, the calendar changes resulting from this pedagogical model imposed serious management problems concerning assessment using on-paper tests, specially to courses with a high number of enrolled students (ranging from 200 to 800).Here we present a methodology that is being used since 2012 that proved to successfully overcome those difficulties. The methodology embraces the whole process of assessment using on-paper tests from its beginning (test authoring) to grades publication. The methodology implementation enabled a significant decrease of faculty s exam/test proctoring time, reduced the grading time for less than an hour, and permitted a much more efficient use of university s rooms dedicated to tests. Moreover, allowed many professors to convey many hours previously spent in related test activities to their research and teaching innovation activities.",Oliveira F.,Conference Proceeding,"3rd International Conference of the Portuguese Society for Engineering Education, CISPEE 2018",2018-12-27,Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa,FCT Curricular Profile ;  FCT NOVA ;  MCQ ;  Multiple-choice question test ;  On-paper test ;  Optimized methodology
Research on the Innovation of the Teaching Mode of Ideological and Political Theory Course Based on the Big Data Teaching Assisted Platform,"To promote the teaching reform of the ideological and political theory course by virtue of modern information technology and increase students' learning interests and teaching effectiveness, big data technology is used to explore a new teaching model for the ideological and political theory course. Network space of teaching activity of the ideological and political theory course is expanded through the construction of big data teaching support platform, which provides plenty of accurate and real-time data for students' learning and creates an online learning platform for students. Systematic changes are produced in teaching idea, teaching methods, and teaching process of the ideological theoretical course drawn support from big data, thereby forming a new teaching model for the big-data ideological and political theory course. This new model fully develops the advantages and functions of big data technology, improves the scientific nature and effectiveness of teaching for the ideological and theoretical course, and is conducive to realizing the basic target of cultivating students' socialist value outlook.",Huang W.; Wei H.,Conference Proceeding,"Proceedings - 9th International Conference on Information Technology in Medicine and Education, ITME 2018",2018-12-26,Shandong University of Finance and Economics,Big data ;  Ideological and political theory course ;  Teaching assisted platform ;  Teaching mode
Research and Practice on the Cultivation of Innovative Talents in Automation Specialty Under the Background of Engineering Education,"Under the background of engineering education professional certification, this article puts forward the construction of new training model for automation professionals. This model aims at cultivating engineering innovation and entrepreneurial talents. Through a series of measures such as training program optimization, curriculum system renewal, teaching method reform and practical teaching enhancement, it has realized the cultivation of professional talents with high quality, strong ability and quick adaptability. The practice shows that the new talent training model can effectively improve students' comprehensive quality, practical and innovative abilities, and employment competitiveness.",Tian S.; Hou Q.; Wang Y.; Du Y.,Conference Proceeding,"Proceedings - 9th International Conference on Information Technology in Medicine and Education, ITME 2018",2018-12-26,Jiamusi University,Automation specialty ;  Engineering education ;  Innovative and entrepreneurial talents ;  Training mode
Bringing scientific research education closer to undergraduates through International Genetically Engineered Machine competition,"In recent years, the International Genetically Engineered Machine (iGEM) competition has experienced rapid global development. In 2017 alone, the number of iGEM teams registered around the globe reached an unprecedented 313, with 98 iGEM teams from China having enrolled in the competition and obtained outstanding results. In contrast to the many college students’ innovation projects and scientific research training programs in China, iGEM’s organization mode is focused on student-centered research learning. Moreover, it achieved a rich educational effect, embodying a new educational idea, which gives it great significance for the extracurricular scientific research training of undergraduates in Chinese universities. In this article, we took Peking University’s participation in the iGEM competition as a starting point. The first part introduces the background and general situation of the iGEM competition. The second part reproduces the general procedure of one iGEM season and organization of Peking University’s team. The third part compares iGEM’s organization mode with those of other undergraduate research training courses and discusses them in detail. The fourth part sums up the experience with iGEM activities as well as explains its effect on developing the research capacity of undergraduate students as well as inspiring them to organize an undergraduate scientific research competition. This article aims to provide a reference for the organization of iGEM activities in domestic universities and for the reform of undergraduate education.",Lü Y.; Zhang Y.; Wang B.; Li C.; Zhang H.; Ouyang Q.,Journal,Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,2018-12-25,Peking University;BGI Research,Genetic engineering ;  IGEM ;  International genetically engineered machine competition ;  Research-based learning ;  Synthetic biology
Sustainable Livestock Development in the Border of Merauke Region Based on Environment,"The purpose of this research is to provide information on sustainable livestock strategies with regard to the environment and social of Papua local communities in the process of cattle breeding process. In addition to increasing the productivity of local livestock, it is required the efficiency of the use of feed materials derived from agricultural waste. This policy should be supported with innovation and technology. Data collection method of this research using two types of data that is primary data and secondary data, primary data obtained from interviews of 30 breeders and the determination of respondents is conducted by way of purposive sampling. Secondary data were obtained from the Livestock Service Office of Merauke Regency, Department of Food Crops and Central Bureau of Statistics (BPS). The field survey results show that in addition to the field grass as the main feed, all breeders use agricultural waste as forage for livestock feed and use little palm oil waste. Types of agricultural waste used are rice straw, sweet potato straw, corn stalks and leaves, and groundnut straw. The highest agricultural waste production is corn stalk and leaves and banana waste both based on fresh produce and dry ingredients. In addition to the most common maintenance pattern is extensively and the best livestock development sites are in elikobel. Site selection based on various things such as location of topography, suboptimal land use, integration pattern optimization, developing local livestock such as poultry and pigs. The conclusion of this research is the strategy of development of sustainable livestock in border area can be conducted in elikobel district with various records such as the need of government policy related to environmentally careful livestock integration system, improving feed innovation and technology, livestock breeding, reproduction technology, and animal disease control to increase productivity and production of local livestock.",Muchlis D.; Nurcholis.,Conference Proceeding,E3S Web of Conferences,2018-12-21,Universitas Musamus Merauke,Animal Science ;  Environment ;  Strategy
