,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,science,program,stem,school,community,social,participants,mathematics,national,practice,culture,faculty,change,activities,educational,career,years,team,professional,studies
1,B,learning,teaching,course,educational,creativity,project,skills,training,teachers,thinking,student,curriculum,digital,school,mobile,problems,classroom,practice,reform,experience
2,C,materials,application,systems,tissue,advanced,water,cell,mechanical,control,field,structure,function,energy,clinical,techniques,devices,medical,test,processes,plant
3,D,software,open,user,ecosystem,labs,source,social,cloud,quality,online,media,architecture,support,adoption,human,systems,feedback,living,agile,oi
4,E,service,systems,enterprises,smart,network,mobile,sustainable,manufacturing,social,architecture,value,framework,green,tangible,higher,platform,triz,logistics,collaboration,quality
5,F,product,manufacturing,companies,market,consumers,value,sustainable,ideas,case,cost,quality,practice,industry,addition,concept,customer,processes,strategies,traditional,experts
6,G,management,knowledge,project,risk,companies,organizations,construction,systems,strategic,strategies,literature,methodology,organizational,analysis,flexible,planning,tools,processes,social,enterprises
7,H,model,business,adoption,evaluation,simulation,network,value,analysis,construction,conceptual,test,data,diffusion,linear,transformation,building,characteristics,performance,theoretical,procedures
8,I,firms,capabilities,performance,smes,activities,interaction,capital,relationship,external,companies,group,effective,strategic,influence,organizational,survey,sales,empirical,human,radical
9,J,university,collaboration,academic,knowledge,transfer,network,industry,entrepreneurship,spin,entrepreneurial,institutions,medical,government,commercial,share,funding,higher,experience,national,international
10,K,patent,triz,inventions,knowledge,citation,problems,analysis,extraction,domain,database,ontology,contain,solving,tools,understanding,around,india,cluster,experts,mining
11,L,industry,sustainable,policy,regional,countries,economic,environmental,sector,energy,economy,growth,competitive,green,low,global,investment,important,national,india,enterprises
