,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,engineering,research,innovation,project,development,industry,science,knowledge,practice,university,collaboration,program,institutions,sustainable,management,training,team,professional,production,challenges
1,B,patients,group,ci,treatment,outcomes,associated,clinical,age,years,risk,months,had,score,disease,control,rate,therapy,conclusion,trial,compared
2,C,materials,properties,composite,structure,film,surface,stability,mechanical,water,application,strength,polymer,fiber,electron,sensor,energy,ion,concrete,temperature,effect
3,D,teaching,college,reform,course,english,practice,mode,intelligence,talents,computer,bigdata,university,technology,training,cultivation,ability,artificial,engineering,internet,classroom
4,E,cell,cancer,protein,expression,activity,extract,lung,induced,inhibition,stem,genes,anti,signaling,human,regulation,treatment,akt,effect,suppression,pathways
5,F,technology,innovation,green,industry,enterprises,development,research,digital,application,environmental,economic,management,energy,construction,efficiency,government,patent,promote,effect,firms
6,G,proton,boson,collisions,jet,decay,tev,quark,mass,measured,cm,higgs,sectional,top,lepton,cross,search,production,luminosity,fb,events
7,H,strain,species,isolated,genes,genome,sequencing,sp,dna,resistance,nov,genus,detection,acid,genetic,dogs,streptomyces,genotype,samples,phylogenetic,infection
8,I,learning,online,course,skills,educational,teachers,student,stem,virtual,learners,experience,digital,classroom,reality,thinking,school,development,environment,assessment,program
9,J,catalyst,oil,production,reaction,acid,hydrogen,yield,carbon,co2,temperature,catalytic,biodiesel,biomass,ni,conversion,activity,gas,bio,ratio,fuel
10,K,model,network,data,prediction,algorithm,management,service,business,performance,simulation,computer,imaging,research,analysis,optimal,problems,operation,users,power,classification
11,L,covid,cov,sars,vaccine,health,infection,pandemic,hiv,virus,coronavirus,disease,countries,social,antibody,detection,drug,immune,response,prevention,against
