,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,health,covid,social,pandemic,factors,community,care,age,participants,risk,associated,countries,self,children,effects,policy,public,findings,behavior,women
1,B,patients,group,treatment,outcomes,ci,clinical,score,years,associated,control,months,vs,weeks,days,had,risk,conclusion,age,rate,significantly
2,C,catalyst,surface,properties,carbon,materials,metal,reaction,production,acid,co2,composite,oil,oxide,temperature,hydrogen,energy,activity,catalytic,film,water
3,D,cells,cancer,expression,protein,activity,compounds,drug,induced,anti,inhibition,signaling,target,against,pathway,extract,derived,apoptosis,effects,treatment,cytotoxicity
4,E,species,middle,east,subfamily,recorded,genera,iran,list,countries,foerster,turkey,extralimital,host,updated,inc,eastern,distribution,endemic,nov,region
5,F,vaccine,sars,cov,dose,covid,booster,immune,antibody,variants,immunogenicity,against,bnt162b2,coronavac,omicron,neutralizing,response,rbd,mrna,chadox1,infection
6,G,proton,boson,tev,decay,collisions,jet,mass,quark,search,leptons,higgs,cm,lhc,production,measured,energy,fb,luminosity,resonance,sectional
7,H,teaching,learning,course,teachers,educational,online,practice,technology,university,student,classroom,virtual,english,college,curriculum,ability,experience,mode,school,reform
8,I,technology,innovation,industry,development,green,digital,intelligence,production,research,enterprises,management,energy,blockchain,manufacturing,sustainable,application,construction,economic,promote,environmental
9,J,model,network,data,prediction,algorithm,detection,image,performance,accuracy,machinelearning,optimal,computer,simulation,operation,generation,techniques,user,test,power,dataset
10,K,engineering,research,project,innovation,development,science,practice,industry,university,collaboration,challenges,field,knowledge,software,scientific,program,team,management,sustainable,systems
11,L,strain,gene,isolated,genome,sequencing,dna,infection,detection,plant,genetic,species,sp,resistance,samples,disease,identified,acid,pathogenic,variants,nov
