,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,engineering,research,project,development,university,program,science,practice,construction,sustainable,future,innovation,challenges,collaboration,management,social,training,industry,field,academic
1,B,patients,group,associated,disease,clinical,treatment,ci,years,risk,outcomes,age,infection,severe,score,had,hospital,care,conclusion,months,children
2,C,composite,properties,films,water,materials,surface,cellulose,structure,strength,temperature,phase,cd,polymer,mechanical,effect,stability,concentration,solution,prepared,application
3,D,proton,boson,collisions,jet,decay,quark,tev,mass,cms,search,higgs,top,production,measured,lepton,pair,section,cross,luminosity,lhc
4,E,learning,teaching,teachers,course,skills,educational,school,student,knowledge,classroom,training,stem,competencies,university,college,professional,ability,problems,practice,implementation
5,F,cell,expression,protein,cancer,activity,gene,induced,compounds,infection,human,inhibition,immune,anti,extract,against,assay,cytotoxicity,target,virus,isolated
6,G,technology,industry,development,innovation,digital,intelligence,research,patent,application,green,bigdata,science,computer,construction,scientific,transformation,college,field,university,trends
7,H,species,genus,sp,nov,isolated,sequence,morphology,strain,gene,genome,dna,molecular,described,phylogenetic,taxonomic,diversity,specimens,region,family,distribution
8,I,model,data,network,algorithm,service,software,test,computer,user,prediction,image,analysis,business,simulation,application,systems,intelligence,detection,tools,performance
9,J,innovation,firms,management,enterprises,production,business,companies,knowledge,market,manufacturing,performance,service,green,factors,organization,research,competitive,relationship,chain,organizational
10,K,energy,power,electrical,cost,optimal,storage,operation,fuel,battery,generation,risk,efficiency,systems,renewable,solar,production,plant,economic,consumption,demand
11,L,catalyst,oil,production,acid,co2,reaction,catalytic,ethanol,hydrogen,activity,temperature,ni,carbon,gas,oxide,pd,yield,h2,reactor,conversion
