,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,engineering,project,research,development,university,program,construction,science,training,scientific,challenges,innovation,course,software,institutions,materials,practice,management,collaboration,faculty
1,B,proton,decay,mass,tev,boson,quark,collisions,search,jet,pair,cms,production,lepton,higgs,gev,events,resonance,luminosity,fb,top
2,C,catalyst,carbon,production,co2,oil,acid,gas,hydrogen,temperature,activity,reaction,h2,yield,waste,energy,oxide,tio2,catalytic,conditions,water
3,D,patients,group,treatment,disease,clinical,outcomes,risk,ci,control,associated,therapy,months,score,years,infection,compared,weeks,days,received,trial
4,E,cells,cancer,protein,activity,expression,compounds,induced,lung,cytotoxicity,against,anti,line,human,regulation,tissue,apoptosis,inhibition,stem,signal,il
5,F,learning,teaching,teachers,course,educational,student,skills,school,learners,activity,game,online,program,innovation,creative,classroom,practice,experience,undergraduate,instructional
6,G,model,data,algorithm,network,simulation,business,computer,technique,performance,software,systems,prediction,analysis,estimation,tool,user,application,image,space,dynamic
7,H,species,isolated,gene,strain,sequence,dna,sp,genus,genome,infection,resistance,genetic,detection,acid,nov,pcr,samples,phylogenetic,pigs,mutation
8,I,innovation,service,production,business,firms,companies,management,industry,research,manufacturing,knowledge,model,enterprises,sustainable,development,customer,implementation,framework,literature,smes
9,J,technology,industry,development,research,innovation,science,energy,management,patents,digital,scientific,policy,application,emerging,field,efficiency,transfer,intelligent,government,food
10,K,health,factors,care,age,associated,knowledge,participants,value,attitude,nursing,elderly,self,findings,risk,social,questionnaire,practice,women,quality,management
11,L,properties,films,materials,composite,surface,structure,graphene,polymer,pla,water,fiber,strength,thermal,prepared,solution,layer,nanocomposites,sensor,application,poly
