Keywords,Count
covid-19,79
machine learning,78
artificial intelligence,67
higher education,55
educational innovation,52
green technology innovation,52
sustainability,49
deep learning,37
sars-cov-2,32
education,32
tissue engineering,28
inflammation,27
antioxidant,26
entrepreneurship,23
technological innovation,23
optimization,21
industry 4.0,21
systematic review,20
mechanical properties,18
3d printing,18
hiv,17
technology innovation,17
technology,17
southeast asia,16
oxidative stress,16
sustainable development,16
biodiesel,16
virtual reality,16
renewable energy,16
depression,15
corporate governance,15
nanoparticles,15
neuro-immune,15
molecular docking,15
china,15
biomarkers,14
adsorption,13
apoptosis,13
biomaterials,13
digital transformation,13
cms,12
blockchain,12
review,12
children,12
meta-analysis,12
diversity,12
chitosan,12
stability,11
additive manufacturing,11
bangkok,11
dental implants,11
bibliometric analysis,11
dft,11
treatment,11
vaccine,11
augmented reality,11
climate change,11
asia,11
hydrogen,11
big data,11
nanotechnology,11
design thinking,11
internet of things,11
healthcare,11
simulation,11
stem,11
evolutionary game,11
response surface methodology,10
obesity,10
iot,10
antimicrobial,10
mortality,10
metaverse,10
acute kidney injury,10
creativity,10
energy efficiency,10
environmental regulation,10
stem education,10
taxonomy,10
public health,9
peritoneal dialysis,9
anticancer,9
probiotics,9
photocatalysis,9
cytokines,9
project-based learning,9
knowledge,9
carbon neutrality,9
covid-19 pandemic,9
teaching,9
digital twin,9
ai,9
anti-inflammatory,8
lung cancer,8
safety,8
immunogenicity,8
arsenic,8
sepsis,8
developing countries,8
alginate,8
leadership,8
psychiatry,8
parkinson’s disease,8
photocatalyst,8
wastewater,8
risk factors,8
adolescent,8
silver nanoparticles,8
cancer,8
cytotoxicity,8
reliability,8
older adults,8
technology acceptance model,8
gut microbiota,8
technology transfer,8
major depression,8
nanomaterials,8
finite element analysis,8
breast cancer,8
antioxidants,8
wastewater treatment,8
development,8
cyanobacteria,8
cannabis,8
citespace,8
quality of life,8
digitalization,8
triz,8
interdisciplinary,8
artificial neural network,8
robotics,8
professional education,8
natural language processing,8
bim,8
design,8
image processing,8
challenge-based learning,8
social media,7
university,7
composites,7
pregnancy,7
hadron-hadron scattering,7
heart failure,7
object detection,7
learning,7
equity,7
microstructure,7
culture,7
literature review,7
thai,7
conference proceeding,7
drug delivery,7
prevalence,7
surface modification,7
artificial neural networks,7
survey,7
corporate social responsibility,7
palm oil,7
morphology,7
aquaculture,7
mood disorders,7
decision making,7
periodontitis,7
environment,7
sustainable development goals,7
antibacterial,7
curriculum,7
human factors,7
biomedical applications,7
artificial intelligence (ai),7
automation,7
chatgpt,7
science and technology innovation,7
bibliometrics,7
biomedical engineering,7
wound healing,7
inclusion,7
cybersecurity,7
pyrolysis,6
pandemic,6
temperature,6
microbiome,6
gene expression,6
degradation,6
stress,6
epidemiology,6
incidence,6
indonesia,6
electrochemical detection,6
antioxidant activity,6
air pollution,6
molecular dynamics,6
copper,6
diagnosis,6
epigenetics,6
agency theory,6
particle swarm optimization,6
supercapacitor,6
stem cells,6
metabolomics,6
density functional theory,6
ethics,6
green synthesis,6
indochina,6
recycling,6
rice,6
finite element method,6
construction,6
pharmacokinetics,6
well-being,6
omicron,6
transformation,6
biomass,6
16s rrna gene,6
circular economy,6
social network analysis,6
systematics,6
e-learning,6
asthma,6
anxiety,6
active learning,6
management,6
education 4.0,6
system dynamics,6
design education,6
systems engineering,6
process innovation,6
requirements engineering,6
text mining,6
metabolism,6
neuroscience,6
energy transition,6
technology management,6
digital technologies,6
innovation ecosystem,6
applications,6
green innovation,6
application,6
edge computing,6
bibliometric,6
construction industry,6
gamification,6
critical thinking,6
