,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,firms,knowledge,collaboration,network,organizational,external,industry,organizations,capabilities,open,effective,resources,companies,capital,source,analysis,alliance,sharing,partners,important
1,B,learning,teaching,course,teachers,educational,student,integrated,mooc,thinking,environment,computer,classroom,framework,practice,game,smart,mathematics,blended,knowledge,assessment
2,C,materials,energy,systems,operations,power,environmental,structure,application,plant,space,performance,advanced,scale,green,gas,measures,industry,including,data,water
3,D,software,open,source,tools,agile,requirements,computer,model,community,systems,adoption,startup,data,user,ecosystem,support,cloud,cost,network,organizations
4,E,product,manufacturing,industry,sustainable,processes,market,agricultural,integrated,customer,food,consumer,function,lean,factory,requirements,quality,companies,value,methodology,case
5,F,service,cloud,adoption,user,value,ict,customer,resources,prototype,digital,maintenance,health,mobile,support,human,library,smes,oriented,network,lab
6,G,business,model,companies,social,enterprises,incubator,value,startup,organizations,ventures,structure,case,entrepreneurs,framework,entrepreneurship,customer,competitive,maturity,canvas,driven
7,H,university,regional,industry,policy,science,institutions,incubator,training,russian,scientific,national,activities,mission,funding,programme,economic,uk,collaboration,entrepreneurial,local
8,I,stem,program,team,participants,project,course,experience,faculty,student,science,skills,school,entrepreneurship,community,college,undergraduate,engagement,group,robotic,years
9,J,management,project,construction,quality,factors,railway,enterprises,change,transfer,risk,control,complex,success,evaluation,practice,effective,companies,decision,processes,competencies
10,K,creativity,triz,problem,ideas,solving,inventive,thinking,methodology,knowledge,generation,solutions,theory,practice,book,science,application,social,areas,designed,psychological
11,L,clinical,cell,health,care,tissue,patient,medicine,healthcare,medical,therapy,disease,devices,translation,treatment,drug,science,regenerative,cancer,ethical,advanced
