,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,innovation,management,companies,firms,business,enterprises,knowledge,supply,chain,production,research,industry,performance,manufacturing,sustainable,social,competitive,development,capability,relationship
1,B,patients,group,treatment,associated,clinical,disease,risk,years,ci,age,hiv,score,outcomes,had,health,months,factors,conclusion,infection,control
2,C,proton,boson,mass,decay,tev,collisions,search,quark,higgs,jets,cms,pair,production,lepton,luminosity,section,standard,corresponding,gev,fb
3,D,catalyst,temperature,acid,oil,oxide,water,composite,reaction,surface,production,properties,activity,carbon,adsorption,co2,concentration,materials,effect,ethanol,yield
4,E,learning,teaching,teachers,skills,educational,course,student,classroom,stem,experience,research,project,school,activity,online,competencies,program,learners,class,university
5,F,cell,cancer,expression,protein,compounds,activity,line,stem,cytotoxicity,lung,induced,inhibition,tissue,against,human,effect,gene,tumor,anti,differentiation
6,G,model,network,data,algorithm,computer,prediction,simulation,technique,classification,image,problem,accuracy,optimal,performance,generation,test,control,analysis,applied,parameters
7,H,engineering,research,project,development,creative,science,university,field,program,innovation,practice,systems,challenges,training,software,industry,concept,problem,professional,course
8,I,technology,innovation,industry,development,science,research,scientific,construction,application,enterprises,efficiency,countries,intelligent,economic,field,advanced,policy,transfer,emerging,patent
9,J,species,strains,gene,isolated,sequence,protein,genome,sp,genus,infection,genetic,nov,acid,phylogenetic,dna,plant,detection,samples,virus,expression
10,K,service,customer,iot,production,smart,quality,user,business,health,digital,satisfaction,internet,systems,data,market,development,things,value,application,research
11,L,energy,renewable,power,solar,electrical,operation,pv,battery,cost,building,systems,generation,sustainable,consumption,storage,wind,optimal,environmental,grid,management
